EmployeeID,Department,Role,Location,FTE,Age,Gender,TenureYears,Leadership,HireDate,HasITSkill,InITTraining,TrainingCompleted,AnnualSalaryEUR,Status,ExitDate,ReasonForLeaving,RetirementEligible,PromotionCount,LastPromotionDate,PayEquityFlag
10000,Claims Processing,Claims Adjuster,Amsterdam,1.0,55,Male,16.3,False,2009-05-05,False,False,False,46591.0,Active,,,False,0,,True
10001,Claims Processing,Senior Claims Adjuster,Rotterdam,1.0,35,Male,6.7,False,2019-01-18,False,False,False,56844.0,Active,,,False,0,,True
10002,Claims Processing,Claims Team Lead,Amsterdam,1.0,52,Male,9.1,False,2016-08-26,False,False,False,36666.0,Active,,,False,0,,False
10003,Claims Processing,Claims Team Lead,Amsterdam,1.0,58,Female,2.5,False,2023-01-20,False,False,False,58240.0,Active,,,False,0,,True
10004,Claims Processing,Claims Team Lead,Amsterdam,0.6,55,Male,1.7,True,2023-10-31,False,False,False,64050.0,Active,,,False,0,,True
10005,Claims Processing,Claims Adjuster,Amsterdam,1.0,54,Male,5.7,False,2020-02-01,False,False,False,61051.0,Active,,,False,0,,True
10006,Claims Processing,Claims Team Lead,The Hague,1.0,37,Male,4.4,False,2021-05-02,False,False,False,43778.0,Active,,,False,0,,False
10007,Claims Processing,Claims Adjuster,Utrecht,1.0,36,Female,2.1,False,2023-07-08,False,False,False,54955.0,Active,,,False,0,,True
10008,Claims Processing,Claims Team Lead,The Hague,0.6,29,Male,3.1,False,2022-06-12,False,False,False,48159.0,Active,,,False,0,,True
10009,Claims Processing,Senior Claims Adjuster,Rotterdam,1.0,65,Female,7.9,False,2017-10-18,False,False,False,58686.0,Active,,,True,0,,True
10010,Claims Processing,Claims Adjuster,Amsterdam,1.0,49,Male,1.3,False,2024-03-14,False,False,False,50154.0,Active,,,False,1,2025-03-08,True
10011,Claims Processing,Senior Claims Adjuster,Utrecht,1.0,27,Female,2.8,False,2022-09-18,False,False,False,42662.0,Active,,,False,0,,False
10012,Claims Processing,Claims Adjuster,Amsterdam,0.8,44,Female,7.4,False,2018-01-27,False,False,False,61471.0,Active,,,False,1,2018-11-02,True
10013,Claims Processing,Claims Adjuster,Amsterdam,1.0,48,Male,2.7,False,2022-11-09,False,False,False,48691.0,Active,,,False,1,2023-10-26,True
10014,Claims Processing,Senior Claims Adjuster,Amsterdam,1.0,53,Male,7.0,False,2018-08-16,False,True,True,46659.0,Active,,,False,1,2024-02-02,True
10015,Claims Processing,Senior Claims Adjuster,Amsterdam,1.0,62,Male,16.6,False,2009-01-31,False,False,False,59164.0,Active,,,False,0,,True
10016,Claims Processing,Claims Team Lead,Amsterdam,0.8,61,Male,4.7,True,2020-11-19,True,False,False,61688.0,Active,,,False,0,,True
10017,Claims Processing,Senior Claims Adjuster,Rotterdam,1.0,60,Male,7.6,False,2018-01-29,False,False,False,41764.0,Active,,,False,2,2022-12-22,False
10018,Claims Processing,Claims Team Lead,Utrecht,0.8,43,Male,5.8,False,2019-10-29,False,False,False,41878.0,Active,,,False,1,2023-03-01,False
10019,Claims Processing,Claims Team Lead,Amsterdam,1.0,64,Male,11.1,False,2014-08-30,False,False,False,44697.0,Active,,,True,0,,False
10020,Claims Processing,Senior Claims Adjuster,Amsterdam,1.0,65,Female,9.6,False,2016-03-01,False,False,False,57749.0,Active,,,True,1,2019-01-29,True
10021,Claims Processing,Claims Team Lead,Utrecht,1.0,25,Male,4.8,False,2020-11-04,False,False,False,43330.0,Active,,,False,1,2024-02-02,False
10022,Claims Processing,Claims Team Lead,Amsterdam,0.8,62,Female,13.3,False,2012-06-15,False,False,False,61995.0,Active,,,False,0,,True
10023,Claims Processing,Claims Team Lead,Amsterdam,1.0,27,Male,2.6,False,2023-03-03,False,False,False,52923.0,Active,,,False,0,,True
10024,Claims Processing,Claims Adjuster,The Hague,0.8,51,Female,18.5,False,2007-01-07,False,False,False,55722.0,Active,,,False,2,2025-03-31,True
10025,Claims Processing,Claims Team Lead,Amsterdam,0.8,60,Male,19.3,True,2006-05-05,False,False,False,47443.0,Active,,,False,1,2017-01-23,True
10026,Claims Processing,Claims Team Lead,Amsterdam,1.0,44,Male,12.6,False,2013-01-15,False,False,False,48146.0,Active,,,False,0,,True
10027,Claims Processing,Senior Claims Adjuster,Rotterdam,0.8,56,Female,8.4,False,2017-04-14,False,False,False,41506.0,Active,,,False,1,2022-12-17,False
10028,Claims Processing,Claims Team Lead,Amsterdam,0.8,28,Male,2.2,False,2023-04-17,False,False,False,48970.0,Active,,,False,0,,True
10029,Claims Processing,Claims Adjuster,Rotterdam,1.0,33,Male,3.6,False,2022-01-11,True,False,False,40522.0,Active,,,False,2,2024-06-04,False
10030,Claims Processing,Claims Adjuster,Utrecht,1.0,27,Female,1.5,False,2024-04-14,False,False,False,49922.0,Active,,,False,0,,True
10031,Claims Processing,Senior Claims Adjuster,Amsterdam,0.6,47,Male,5.5,False,2020-01-14,True,False,False,45382.0,Active,,,False,0,,False
10032,Claims Processing,Claims Adjuster,Rotterdam,1.0,57,Male,12.7,False,2012-11-03,False,False,False,44683.0,Active,,,False,1,2016-03-10,False
10033,Claims Processing,Claims Adjuster,Rotterdam,0.8,65,Female,4.2,False,2021-05-20,False,False,False,59157.0,Active,,,True,0,,True
10034,Claims Processing,Claims Team Lead,Amsterdam,0.6,42,Female,2.2,False,2023-07-25,False,False,False,43482.0,Left,2025-08-01,Voluntary,False,1,2024-05-15,False
10035,Claims Processing,Claims Team Lead,Rotterdam,1.0,33,Female,5.1,True,2020-07-28,False,False,False,50172.0,Active,,,False,0,,True
10036,Claims Processing,Claims Adjuster,Amsterdam,1.0,63,Male,27.3,False,1998-06-24,False,False,False,36976.0,Active,,,True,1,2022-12-11,False
10037,Claims Processing,Senior Claims Adjuster,Rotterdam,1.0,44,Female,3.0,False,2022-07-29,False,False,False,40923.0,Active,,,False,0,,False
10038,Claims Processing,Claims Team Lead,Amsterdam,1.0,47,Male,9.8,True,2015-10-11,False,True,True,61605.0,Active,,,False,1,2024-02-09,True
10039,Claims Processing,Claims Team Lead,Rotterdam,1.0,51,Female,17.3,False,2008-04-12,True,False,False,45594.0,Left,2025-05-01,Involuntary,False,1,2013-03-23,True
10040,Claims Processing,Claims Adjuster,Amsterdam,1.0,51,Female,15.4,False,2010-02-25,False,False,False,56329.0,Active,,,False,0,,True
10041,Claims Processing,Claims Team Lead,Utrecht,1.0,50,Female,16.6,False,2009-03-12,True,False,False,46364.0,Active,,,False,1,2010-09-17,True
10042,Claims Processing,Senior Claims Adjuster,Amsterdam,0.8,58,Female,2.9,False,2022-10-03,False,False,False,50943.0,Active,,,False,0,,True
10043,Claims Processing,Claims Adjuster,Rotterdam,0.8,59,Male,7.3,False,2018-06-18,True,False,False,56229.0,Active,,,False,0,,True
10044,Claims Processing,Claims Team Lead,Rotterdam,1.0,40,Female,4.9,True,2020-07-30,False,False,False,67728.0,Left,2024-10-29,Voluntary,False,0,,True
10045,Claims Processing,Claims Team Lead,Utrecht,1.0,62,Female,5.0,False,2020-07-18,False,False,False,58674.0,Active,,,False,0,,True
10046,Claims Processing,Senior Claims Adjuster,Rotterdam,1.0,62,Male,7.3,False,2018-06-07,False,False,False,36289.0,Active,,,False,1,2020-03-10,False
10047,Claims Processing,Claims Team Lead,Utrecht,1.0,41,Female,8.3,False,2017-06-12,False,False,False,57100.0,Active,,,False,0,,True
10048,Claims Processing,Senior Claims Adjuster,Utrecht,0.6,31,Male,7.0,False,2018-08-16,False,False,False,41359.0,Active,,,False,0,,False
10049,Claims Processing,Senior Claims Adjuster,The Hague,0.8,38,Female,5.2,False,2020-04-30,False,False,False,37711.0,Left,2025-01-26,Retirement,False,1,2022-09-04,False
10050,Claims Processing,Claims Adjuster,Amsterdam,0.8,55,Female,10.7,False,2014-10-15,False,False,False,45008.0,Active,,,False,1,2018-05-30,True
10051,Claims Processing,Claims Adjuster,Rotterdam,0.6,26,Female,4.1,False,2021-07-10,False,False,False,45866.0,Active,,,False,2,2023-02-18,True
10052,Claims Processing,Claims Team Lead,Utrecht,1.0,61,Male,11.5,True,2014-03-12,False,True,False,61242.0,Active,,,False,2,2016-04-14,True
10053,Claims Processing,Senior Claims Adjuster,The Hague,0.8,64,Female,6.3,False,2019-03-11,False,False,False,57125.0,Active,,,True,0,,True
